date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:08	74629/74629	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2019:35:08%20GMT	https://previewthemes.com/charityplus/home-1	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/home-1.html	(from )
01:05:08	446/446	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2007:56:29%20GMT	https://previewthemes.com/robots.txt		(from )
01:05:09	5430/5430	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226102e7da-1536%22	https://previewthemes.com/charityplus/core/misc/favicon.ico	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/core/misc/favicon.ico	(from https://previewthemes.com/charityplus/home-1)
01:05:10	74635/74635	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2019:35:10%20GMT	https://previewthemes.com/charityplus/node/1	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/node/1.html	(from https://previewthemes.com/charityplus/home-1)
01:05:11	41666/41666	---MCZ	200	added ('OK')	text/css	etag:W/%226257c59b-a2c2%22	https://previewthemes.com/charityplus/sites/default/files/css/css_IRVg2xEp90K5nKdW0_JWGUTocT8j0atd-UHIpd0P428.css	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/css/css_IRVg2xEp90K5nKdW0_JWGUTocT8j0atd-UHIpd0P428.css	(from https://previewthemes.com/charityplus/home-1)
01:05:13	816168/816168	---MCZ	200	added ('OK')	text/css	etag:W/%226257c0c0-c7428%22	https://previewthemes.com/charityplus/sites/default/files/css/css_FeiFifxWpyqr-AMNJxf_tTrANJIZLUssdrqNG7Zs46s.css	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/css/css_FeiFifxWpyqr-AMNJxf_tTrANJIZLUssdrqNG7Zs46s.css	(from https://previewthemes.com/charityplus/home-1)
01:05:15	0/0	---M--	200	added ('OK')	text/css	etag:%226102e7e8-0%22	https://previewthemes.com/charityplus/themes/custom/gavias_charityplus/css/custom.css	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/themes/custom/gavias_charityplus/css/custom.css	(from https://previewthemes.com/charityplus/home-1)
01:05:16	355/355	---MCZ	200	added ('OK')	text/css	etag:W/%226102e7e8-163%22	https://previewthemes.com/charityplus/themes/custom/gavias_charityplus/css/update.css	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/themes/custom/gavias_charityplus/css/update.css	(from https://previewthemes.com/charityplus/home-1)
01:05:16	944014/944014	---MCZ	200	added ('OK')	application/javascript	etag:W/%226257c59b-e678e%22	https://previewthemes.com/charityplus/sites/default/files/js/js_i7-ZVlsVSpaQg-dQ1DHkV9a23HpZZMtkRpTogny8jnk.js	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/js/js_i7-ZVlsVSpaQg-dQ1DHkV9a23HpZZMtkRpTogny8jnk.js	(from https://previewthemes.com/charityplus/home-1)
01:05:17	389/389	---MC-	302	error ('Found')	text/html	date:Fri,%2015%20Apr%202022%2019:35:17%20GMT	https://previewthemes.com/charityplus/user	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/user.8.delayed	(from https://previewthemes.com/charityplus/home-1)
